arm,channel,component,swaptype_holdout,ratio_swap_over_comp
A_diff,cpcm_dft,2.546324223026214,2.5070600094769118,0.9845800416167592
A_diff,d1_own_dft,2.089660659004371,1.8733263761241676,0.8964739648286834
A_diff,d2_own_dft,1.9306702695448021,1.8154464799866505,0.9403192811451341
A_diff,disp_dft,1.2194144507964844,1.196533614534337,0.9812362103407892
A_diff,elst_dft,4.671032312817485,4.362909003938422,0.9340352863683771
A_diff,oi_dft,4.845537369433254,4.409306850657708,0.9099727263425132
A_diff,pauli_dft,8.481923076790604,7.645983809057658,0.9014446063510813
B_concat,cpcm_dft,2.858356263148887,2.476246357516632,0.8663183065880996
B_concat,d1_own_dft,2.5940666215844903,1.990291765848091,0.7672477450222132
B_concat,d2_own_dft,2.5356558690391315,2.162282570658733,0.8527507999254309
B_concat,disp_dft,1.520720447591532,1.3358518168262197,0.8784335207315052
B_concat,elst_dft,5.119574439125069,4.31778987361386,0.843388434909009
B_concat,oi_dft,5.411689232887791,4.564914757034346,0.8435286212099086
B_concat,pauli_dft,9.363147172380181,7.507013492911308,0.8017617746152514
C_symmetric,cpcm_dft,2.582074438178082,2.0737994786952823,0.8031524761766978
C_symmetric,d1_own_dft,1.9490466414984353,1.5867302877505638,0.8141058576877764
C_symmetric,d2_own_dft,1.832741267820269,1.5407148798613457,0.8406614217258072
C_symmetric,disp_dft,1.1249271902472724,0.9380936155140883,0.8339149623611499
C_symmetric,elst_dft,4.505095294214306,3.6071285610531576,0.800677527440015
C_symmetric,oi_dft,4.6427774139334455,3.5132489397366506,0.7567127661974564
C_symmetric,pauli_dft,7.649880698102061,5.837611641288167,0.7630983895914196
