arm,channel,self_mean_abs,self_median_abs,self_p95_abs,asym_mean,asym_median,asym_p95
A_diff,d1_own_dft,0.20326536893844604,0.20326533913612366,0.20326533913612366,1.823062777519226,1.2071970701217651,5.798492431640625
A_diff,d2_own_dft,0.007612996734678745,0.007612996734678745,0.007612996734678745,2.0756518840789795,1.4557958841323853,5.920786380767822
A_diff,elst_dft,1.1622239351272583,1.1622239351272583,1.1622239351272583,4.519629001617432,3.337282180786133,12.612555742263794
A_diff,pauli_dft,1.2063398361206055,1.2063395977020264,1.2063395977020264,7.426824569702148,4.835582733154297,23.3693790435791
A_diff,oi_dft,0.5499759316444397,0.5499759912490845,0.5499759912490845,4.62220573425293,3.2699267864227295,14.778053045272827
A_diff,disp_dft,0.1256706565618515,0.1256706565618515,0.1256706565618515,1.0047388076782227,0.7534924745559692,2.779475748538971
A_diff,cpcm_dft,0.45503756403923035,0.45503759384155273,0.45503759384155273,2.5710747241973877,2.057816505432129,6.6227827072143555
B_concat,d1_own_dft,1.2603121995925903,0.8467073440551758,3.8633221626281724,2.184889793395996,1.406956434249878,6.666463732719421
B_concat,d2_own_dft,0.7162725329399109,0.4902748465538025,2.1233200669288625,1.952314853668213,1.3216989040374756,5.899983525276184
B_concat,elst_dft,2.5135433673858643,1.8817131519317627,6.624022579193115,4.5467939376831055,3.3796768188476562,12.692540645599365
B_concat,pauli_dft,3.9801416397094727,2.833710193634033,11.881712198257443,7.405544281005859,5.4604339599609375,20.685837745666504
B_concat,oi_dft,2.605642557144165,1.9684727191925049,7.022167921066282,4.819021224975586,3.5303845405578613,14.064539670944214
B_concat,disp_dft,0.7163352966308594,0.5575281381607056,1.994030332565307,1.4331907033920288,1.2449156045913696,3.4931692481040955
B_concat,cpcm_dft,1.3151365518569946,1.018635869026184,3.5197973847389212,2.580521583557129,2.0523462295532227,6.5209736824035645
C_symmetric,d1_own_dft,0.309177428483963,0.22852027416229248,0.9266587495803822,0.1601630449295044,0.07132101058959961,0.6619367301464081
C_symmetric,d2_own_dft,0.1521041840314865,0.11656379699707031,0.41983670741319623,0.16710421442985535,0.06057620048522949,0.8221369385719299
C_symmetric,elst_dft,0.5298407077789307,0.3938259780406952,1.4954951822757712,0.34819725155830383,0.15306156873703003,1.480880320072174
C_symmetric,pauli_dft,0.7948395013809204,0.5247702598571777,2.738558375835415,0.5700393319129944,0.23170042037963867,2.4566062688827515
C_symmetric,oi_dft,0.46993815898895264,0.36055824160575867,1.3271266102790802,0.3307372033596039,0.13513238728046417,1.5056147575378418
C_symmetric,disp_dft,0.12999564409255981,0.10245764255523682,0.3193759560585021,0.1082841232419014,0.042714715003967285,0.49077584594488144
C_symmetric,cpcm_dft,0.29885199666023254,0.24946704506874084,0.7755029559135436,0.19826346635818481,0.09566020965576172,0.7994873523712158
