scheme,seed,channel,abs_mae_pair,rho_pair_measured,predicted_mae_delta,required_rho_for_1kcal,gap_actual_minus_required
kfold_random,42,d1_own_dft,1.216719398744526,0.07420423855346181,1.6556289972279372,0.6622548356199438,-0.588050597066482
kfold_random,42,d2_own_dft,1.138290413432778,0.12711188711619656,1.503998370554316,0.614109712630297,-0.4869978255141004
kfold_random,42,elst_dft,3.0254393479088844,0.21752420564965205,3.7847648752055885,0.9453747921418186,-0.7278505864921666
kfold_random,42,pauli_dft,4.697530176379843,0.26913084741306176,5.679425310846693,0.9773415161206787,-0.7082106687076168
kfold_random,42,oi_dft,2.7302401602838473,0.21333158683329811,3.424614606230628,0.9329238228331271,-0.719592235999829
kfold_random,42,disp_dft,0.7754865461781907,0.14740227422604912,1.0126546247677952,0.1685780825183959,-0.021175808292346776
kfold_random,42,cpcm_dft,1.8563709236050245,0.1926552535394986,2.358898569717778,0.85490899482154,-0.6622537412820414
kfold_random,42,cds_dft,0.23320549429461462,0.1558429385313722,0.3030158910861395,-8.193744876867648,8.349587815399019
kfold_random,42,interaction_own_dft,1.6085148894090007,0.09542877211907025,2.16352275907117,0.8067498526975099,-0.7113210805784396
kfold_random,43,d1_own_dft,1.1800699035666675,0.09088467839022663,1.5912272981595628,0.6409503268076913,-0.5500656484174646
kfold_random,43,d2_own_dft,1.142983881045073,0.11158173192980624,1.5235750206391925,0.6172723905632063,-0.5056906586334
kfold_random,43,elst_dft,3.140420403076114,0.20718810069870108,3.954466201650052,0.9493015801296653,-0.7421134794309642
kfold_random,43,pauli_dft,4.90009929278599,0.22636541713467118,6.095197969268586,0.9791761875559333,-0.7528107704212621
kfold_random,43,oi_dft,2.660310449355104,0.18708251653354224,3.3921148657474665,0.9293511065994569,-0.7422685900659146
kfold_random,43,disp_dft,0.8015805427282716,0.13796331930800199,1.0525071081958424,0.22182787318425012,-0.08386455387624814
kfold_random,43,cpcm_dft,1.8334732204424746,0.22174340364364692,2.2874466513755833,0.8512623682627016,-0.6295189646190547
kfold_random,43,cds_dft,0.23474995672716395,0.16673279176312406,0.3030488667788152,-8.073168212364331,8.239901004127455
kfold_random,43,interaction_own_dft,1.5893408444827917,0.08139173275108148,2.1542555333128592,0.8020589291741098,-0.7206671964230283
kfold_random,44,d1_own_dft,1.1570502005684278,0.06131252334883133,1.5853593258927148,0.6265215046963082,-0.5652089813474769
kfold_random,44,d2_own_dft,1.180701306828122,0.08991731612301304,1.5929255098907058,0.641334241885706,-0.551416925762693
kfold_random,44,elst_dft,3.1325892266174105,0.1881482677877075,3.9916900241470863,0.9490477807899061,-0.7608995130021987
kfold_random,44,pauli_dft,4.828670969889985,0.25162615748865247,5.907475249308264,0.9785555566217897,-0.7269293991331373
kfold_random,44,oi_dft,2.684788446180138,0.1884252797811757,3.4204978626187925,0.9306334869133129,-0.7422082071321372
kfold_random,44,disp_dft,0.7839697455797735,0.1297072872669051,1.0343010709444354,0.18647407321234333,-0.056766785945438214
kfold_random,44,cpcm_dft,1.8792538291334433,0.21586018276912847,2.3534078363123703,0.8584209099660733,-0.6425607271969449
kfold_random,44,cds_dft,0.22996238232839106,0.1577283166474675,0.29846808359832117,-8.454888378603158,8.612616695250626
kfold_random,44,interaction_own_dft,1.6205394411382175,0.09903662248479869,2.175345142393843,0.8096070805170208,-0.7105704580322221
kfold_random,45,d1_own_dft,1.2562282085358123,0.07884728413127906,1.7050980491536762,0.6831651671890018,-0.6043178830577227
kfold_random,45,d2_own_dft,1.1887888122657635,0.1344722224408598,1.5640845002336201,0.6461977538167587,-0.5117255313758989
