scheme,channel,abs_mae_pair,rho_pair_measured,rho_pair_std,predicted_mae_delta,required_rho_for_1kcal,gap_actual_minus_required,strategy_tier
groupkfold_component,cds_dft,0.2715571006304695,0.23104869631673913,0.019225387276123346,0.33675218185335654,-5.785400869198503,6.016449565515242,A_SUFFICIENT
groupkfold_component,cpcm_dft,2.1058901216134442,0.3220990506069342,0.025471663484541416,2.4512384562096385,0.8870362654750176,-0.5649372148680833,C_HARD
groupkfold_component,d1_own_dft,1.2859134623858552,0.13530527749293814,0.02399019411792498,1.6906830467095282,0.6973883855651268,-0.5620831080721886,D_NO_HOPE
groupkfold_component,d2_own_dft,1.4625522930130443,0.288620440703772,0.029832206471651846,1.7440085002568355,0.7660349155328109,-0.47741447482903887,D_NO_HOPE
groupkfold_component,disp_dft,0.891563834977014,0.28641988784867295,0.03141173524528037,1.064552793873387,0.3700596010851017,-0.08363971323642878,D_NO_HOPE
groupkfold_component,elst_dft,3.6289738823859325,0.3196773802284596,0.026538497750521913,4.231840221974858,0.9620050081346634,-0.6423276279062038,C_HARD
groupkfold_component,interaction_own_dft,1.8052211709818327,0.18956282871230742,0.01529376737412855,2.297974051431483,0.8464123914832961,-0.6568495627709885,D_NO_HOPE
groupkfold_component,oi_dft,3.176447583660168,0.3207865739055024,0.024644964004190438,3.7015759401611534,0.9503947836619975,-0.6296082097564952,C_HARD
groupkfold_component,pauli_dft,5.8657415581970564,0.363503827813574,0.03636270613884498,6.615418133419619,0.9854618510152434,-0.6219580232016695,C_HARD
kfold_random,cds_dft,0.2306464756028192,0.16524086926703885,0.01033029330943586,0.29801025191272856,-8.407595102907063,8.5728359721741,A_SUFFICIENT
kfold_random,cpcm_dft,1.8582817243125174,0.2079675134741165,0.012248466224683969,2.3388144079336377,0.855176945815286,-0.6472094323411695,D_NO_HOPE
kfold_random,d1_own_dft,1.1988726258854072,0.0765920307308611,0.010604054594067117,1.62915339717629,0.6512799474964197,-0.5746879167655587,D_NO_HOPE
kfold_random,d2_own_dft,1.1713850000548245,0.11005670384251845,0.021315075966855203,1.5628568266431675,0.6350459526882241,-0.5249892488457056,D_NO_HOPE
kfold_random,disp_dft,0.785995639732967,0.1309525181637521,0.01480653382283903,1.03623492268134,0.19028709781949166,-0.05933457965573954,D_NO_HOPE
kfold_random,elst_dft,3.1173337098998166,0.20552851320164903,0.020656285441252434,3.9301811247917326,0.9484579744013011,-0.742929461199652,D_NO_HOPE
kfold_random,interaction_own_dft,1.6125757903384255,0.09060018985757852,0.010369998354108524,2.174695440381529,0.8076850362818805,-0.7170848464243019,D_NO_HOPE
kfold_random,oi_dft,2.7218060821454766,0.191521058616302,0.014175942880416093,3.4608085908048722,0.932437313782273,-0.740916255165971,D_NO_HOPE
kfold_random,pauli_dft,4.820861361121737,0.2484406047144163,0.019063052480522633,5.911015093733599,0.9784713703342243,-0.730030765619808,D_NO_HOPE
