protocol,feature_set,target,model,pre_ml_mae,pre_ml_r,train_mae,train_nmae,test_mae,test_mae_sd,test_nmae,test_r2,test_range,test_mae_pct_range
A,ESPLEY46,dft_barrier_kcal,Ridge,6.229508063292457,0.7937559658583927,2.3864435932782824,0.3276695524707508,2.4786828439838393,0.05037856346822069,0.3332678184951735,0.8838577108886436,60.28041111033912,4.111920934724187
A,ESPLEY46,dft_barrier_kcal,KRR_rbf,6.229508063292457,0.7937559658583927,1.1203543363297495,0.15382784676388478,1.7819529125420774,0.062093159239283505,0.23968658506498491,0.9326221044981582,60.28041111033912,2.9561061043202512
A,ESPLEY46,dft_barrier_kcal,SVR_rbf,6.229508063292457,0.7937559658583927,1.230614321223242,0.16896961622954834,1.8249433751566233,0.05031737975509409,0.2454912302978304,0.9311495187436435,60.28041111033912,3.027423571840263
A,ESPLEY46,dft_barrier_kcal,XGB,6.229508063292457,0.7937559658583927,0.3685254589537537,0.050597305411566464,1.9562519447418558,0.06310487703152279,0.2631979141467563,0.9192616001170926,60.28041111033912,3.2452531572173124
A,ESPLEY54,dft_barrier_kcal,Ridge,6.229508063292457,0.7937559658583927,2.049145640414477,0.281356917409494,2.1333311109708655,0.06579218365294198,0.2868154120776799,0.9148686404345915,60.28041111033912,3.5390122125510235
A,ESPLEY54,dft_barrier_kcal,KRR_rbf,6.229508063292457,0.7937559658583927,1.3240459451316688,0.1818037047299418,1.6198154662510926,0.06417551578707915,0.21785393368596329,0.9472403210505431,60.28041111033912,2.687134072934793
A,ESPLEY54,dft_barrier_kcal,SVR_rbf,6.229508063292457,0.7937559658583927,0.7693676132920926,0.10563677502248026,1.6112399835919402,0.06911473847129075,0.21676861271725398,0.9418762494407347,60.28041111033912,2.672908087243594
A,ESPLEY54,dft_barrier_kcal,XGB,6.229508063292457,0.7937559658583927,0.3106692066396834,0.04265767935927327,1.9067337806338425,0.06049857028662777,0.25650546907209804,0.923308428641627,60.28041111033912,3.163106796242146
A,ESPLEY72,dft_barrier_kcal,Ridge,6.229508063292457,0.7937559658583927,1.9793971992238213,0.27178232375184147,2.0497428766996233,0.060109330697700115,0.275571200398906,0.9206444749609407,60.28041111033912,3.400346545327488
A,ESPLEY72,dft_barrier_kcal,KRR_rbf,6.229508063292457,0.7937559658583927,1.0432975756334395,0.1432552705136374,1.4937074643242993,0.032569178192266526,0.20089997569280343,0.9536697552423433,60.28041111033912,2.4779317805085492
