reaction_number,reaction_id,distortion_dft,interaction_dft,e_barrier_dft
0,dipolar_000009,81.79079249639472,-105.8309990575217,-24.04020656112698
1,dipolar_000017,53.54869862404303,-75.3330121167528,-21.78431349270977
2,dipolar_000027,16.71812798967585,-0.8914330367988441,15.826694952877006
3,dipolar_000034,5.347798704635352,0.2466426076425705,5.594441312277922
4,dipolar_000036,9.042747727013193,-1.718497822759673,7.32424990425352
5,dipolar_000041,71.30702716685482,-82.54218523594318,-11.235158069088357
6,dipolar_000049,81.97532432473963,-90.8919601769885,-8.916635852248874
7,dipolar_000050,87.92311289854115,-98.5368068703392,-10.613693971798057
8,dipolar_000067,11.246069705783157,-2.0737627306662034,9.172306975116953
9,dipolar_000078,9.806595132220536,-1.1542495907051489,8.652345541515388
10,dipolar_000080,9.342609157029074,-3.5539567504893057,5.788652406539768
11,dipolar_000084,20.920729467528872,-1.9407324063940905,18.97999706113478
12,dipolar_000097,72.27702178122126,-77.5148361925967,-5.237814411375439
13,dipolar_000133,9.453269886842463,0.5872877375804819,10.040557624422945
14,dipolar_000145,137.30617985632853,-145.35994012464653,-8.053760268318001
15,dipolar_000155,42.9891924886615,-44.739327117218636,-1.7501346285571344
16,dipolar_000160,15.753776108642342,0.4425487524422351,16.196324861084577
17,dipolar_000172,107.19123992384993,-82.88892314670375,24.30231677714619
18,dipolar_000173,89.73186233485467,-60.161825215880526,29.570037118974142
19,dipolar_000205,42.64871643984225,-42.41137689363677,0.23733954620547593
20,dipolar_000206,12.943514464597683,-2.508755221089814,10.43475924350787
21,dipolar_000219,4.383947312046075,-3.226076220656978,1.1578710913890973
22,dipolar_000245,48.95572034025099,-56.78653162048431,-7.83081128023332
23,dipolar_000262,7.65538662468316,-0.49322331431903876,7.162163310364122
24,dipolar_000263,11.260850110382307,-4.784094658738468,6.4767554516438395
25,dipolar_000271,102.09755717712687,-116.65180303575471,-14.554245858627837
26,dipolar_000279,85.61208944383543,-91.5545894644165,-5.942500020581065
27,dipolar_000298,20.98737876303494,-4.735965609492268,16.25141315354267
28,dipolar_000309,20.07362371630734,-3.8895422202767804,16.184081496030558
29,dipolar_000331,8.584557478956413,-3.6322553018690087,4.952302177087404
30,dipolar_000339,66.54960570510593,-90.39519562831265,-23.845589923206717
31,dipolar_000344,11.189499685890041,-6.662913371692412,4.52658631419763
32,dipolar_000360,12.723752278427128,-3.798862389929127,8.924889888498
33,dipolar_000372,10.36589055514196,-4.516708336333977,5.849182218807982
34,dipolar_000393,71.22888828764553,-84.07493712377618,-12.846048836130649
35,dipolar_000401,4.985079662466887,-1.636482601345051,3.3485970611218363
36,dipolar_000404,93.7856068580295,-103.64253458351595,-9.856927725486457
37,dipolar_000411,79.364399147511,-81.70238451700425,-2.3379853694932535
38,dipolar_000415,64.13928174116882,-75.68477946938947,-11.545497728220653
39,dipolar_000418,93.88691839255625,-98.24541553616291,-4.358497143606655
40,dipolar_000425,12.756245974567719,-2.4332738659577444,10.322972108609974
41,dipolar_000455,150.6119049511617,-131.77101026580203,18.84089468535967
42,dipolar_000460,8.822782535746228,-5.014963986119255,3.8078185496269725
43,dipolar_000484,76.1416000475001,-84.12140250034281,-7.979802452842705
44,dipolar_000487,15.856358054792508,-3.1648288511496503,12.691529203642858
45,dipolar_000502,4.781881116708973,-3.013716656365432,1.7681644603435416
46,dipolar_000514,68.65887823473895,-84.75342954770895,-16.094551312969998
47,dipolar_000517,146.48758386768168,-146.22070524742594,0.2668786202557385
48,dipolar_000535,10.36395619873656,-5.505901216471102,4.8580549822654575
49,dipolar_000541,7.1431799866841175,-4.2070476486114785,2.936132338072639
50,dipolar_000551,75.35336973881931,-95.70812032656977,-20.35475058775046
51,dipolar_000561,14.234705056936946,-7.234959341643844,6.999745715293102
52,dipolar_000568,11.0841723807971,-1.6179124247282743,9.466259956068825
53,dipolar_000583,96.88279482012149,-108.09315407817485,-11.210359258053359
54,dipolar_000606,134.17980167275527,-69.55845722131198,64.62134445144329
55,dipolar_000628,58.40734693611739,-65.37200159783242,-6.964654661715031
56,dipolar_000648,101.19705496102688,-111.4323306264123,-10.235275665385416
57,dipolar_000658,8.891140836960403,-3.6689746011106763,5.222166235849727
58,dipolar_000700,132.29293765395414,-114.29754965822212,17.995387995732017
59,dipolar_000721,90.65394200693117,-104.1998205986456,-13.545878591714427
60,dipolar_000732,104.14751741927466,-109.76975776141626,-5.622240342141595
61,dipolar_000753,10.74405613768613,-5.427588805963751,5.316467331722379
62,dipolar_000759,61.26811267033918,-61.926880308950786,-0.6587676386116073
63,dipolar_000763,53.11585915629985,-63.540105918073095,-10.424246761773247
64,dipolar_000783,7.220843524788506,-3.0899272953392938,4.1309162294492126
65,dipolar_000784,5.427146761852782,-6.996684663143242,-1.5695379012904596
66,dipolar_000797,100.17827491438948,-115.29171067889547,-15.113435764505994
67,dipolar_000853,30.163779301161412,-3.00709336088039,27.156685940281022
68,dipolar_000864,75.24023631116142,-78.52734165865695,-3.287105347495526
69,dipolar_000876,141.2193403019919,-149.0973360463977,-7.87799574440578
70,dipolar_000900,9.837714055553079,-4.825535922253039,5.01217813330004
71,dipolar_000915,14.442124778142897,-4.292196639900794,10.149928138242103
72,dipolar_000930,7.74515406327555,-5.000725518795662,2.744428544479888
73,dipolar_000975,126.08996089035645,-112.28167170193046,13.808289188425988
74,dipolar_000983,43.98115932405926,-38.352356426476035,5.628802897583228
75,dipolar_000984,13.114025821269024,-7.450751648750156,5.663274172518868
76,dipolar_000991,103.10430545808049,-108.24800594331464,-5.143700485234149
77,dipolar_001058,15.679038197209593,-4.625773835810833,11.05326436139876
78,dipolar_001090,125.54072277707746,-119.8969347354141,5.643788041663356
79,dipolar_001108,51.392698136973195,-70.875004277681,-19.482306140707806
80,dipolar_001146,18.939403042109916,-2.804223627288593,16.135179414821323
81,dipolar_001155,91.65806682087714,-99.31897624296835,-7.660909422091208
82,dipolar_001156,78.27000212896382,-82.31814625504194,-4.048144126078114
83,dipolar_001158,28.752174548630137,-40.115349249739666,-11.363174701109529
84,dipolar_001172,77.82987018791027,-72.77111888863146,5.058751299278811
85,dipolar_001177,42.89495347478078,-17.46829103725031,25.426662437530467
86,dipolar_001187,9.714612174255308,-7.197712683526333,2.5168994907289743
87,dipolar_001189,7.200168880226556,-3.451946615416091,3.7482222648104653
88,dipolar_001197,22.055161406635307,-6.4447737373411655,15.610387669294141
89,dipolar_001221,75.8064035922871,-79.12531016144203,-3.318906569154933
90,dipolar_001225,11.254743600613438,-4.459111691423459,6.795631909189979
91,dipolar_001241,10.025782805867493,-5.176069606328383,4.84971319953911
92,dipolar_001243,28.467478747537825,-1.3946856696275063,27.07279307791032
93,dipolar_001250,13.995318399043754,-5.378754562872928,8.616563836170826
94,dipolar_001261,12.490259581827559,-8.140937075950205,4.349322505877353
95,dipolar_001277,99.7492664604215,-81.82020106661366,17.929065393807832
96,dipolar_001294,6.524311017565196,-5.182080111204414,1.3422309063607827
97,dipolar_001295,64.547851265379,-72.97334998627775,-8.425498720898759
98,dipolar_001298,11.628696011553984,-3.3797491830191575,8.248946828534827
99,dipolar_001314,13.756135888339486,-6.646922904823441,7.109212983516045
100,dipolar_001323,9.711355666106101,-4.209918983862735,5.501436682243366
101,dipolar_001326,22.931960590009112,-8.696853927627672,14.23510666238144
102,dipolar_001353,35.96754521509865,-35.594820780912414,0.3727244341862388
103,dipolar_001374,108.1459913108265,-120.50122633820865,-12.35523502738215
104,dipolar_001382,16.68594826030312,-5.215579045529012,11.47036921477411
105,dipolar_001392,30.968287664290983,-3.728794102848042,27.23949356144294
106,dipolar_001399,17.983855567668797,-7.947245457908139,10.036610109760659
107,dipolar_001402,8.004113166360185,-5.439972163178027,2.564141003182158
