reaction_id,sub_source,resid_kcal
dipolar_000009,spec16,0.0017978696267739736
dipolar_000017,locked_778,0.005615570749800014
dipolar_000027,spec16,0.006586004219645503
dipolar_000034,locked_778,0.00334729849013371
dipolar_000036,locked_778,0.005755559239844388
dipolar_000041,locked_778,0.0009730371794454129
dipolar_000049,locked_778,0.0010343025027523822
dipolar_000050,spec16,0.01469033445778134
dipolar_000067,locked_778,0.003040467634196631
dipolar_000078,spec16,0.0003567441922651682
dipolar_000080,locked_778,0.0034989856419596066
dipolar_000084,locked_778,0.0025432791821451417
dipolar_000097,locked_778,0.0008958457914429729
dipolar_000133,locked_778,0.0088805819668476
dipolar_000145,spec16,0.00023326796893030632
dipolar_000155,locked_778,0.008359459399759572
dipolar_000160,locked_778,0.013706094290899529
dipolar_000172,locked_778,0.005980914192512898
dipolar_000173,spec16,0.00024231906960636707
dipolar_000205,spec16,0.0023082638638234343
dipolar_000206,locked_778,0.010553515029904759
dipolar_000219,locked_778,0.002114173038936684
dipolar_000245,locked_778,0.006921489442067608
dipolar_000262,locked_778,0.008717540022390224
dipolar_000263,spec16,0.009433047266497852
dipolar_000271,spec16,0.0027632980349050484
dipolar_000279,spec16,0.0036156049527971135
dipolar_000298,spec16,0.005558210450372414
dipolar_000309,spec16,0.009439780422113131
dipolar_000331,spec16,0.0036776827705811144
dipolar_000339,spec16,0.0025806482595527314
dipolar_000344,spec16,0.002420877515985076
dipolar_000360,locked_778,0.0004165142549190648
dipolar_000372,spec16,0.005107607417647042
dipolar_000393,locked_778,0.007203650619933555
dipolar_000401,locked_778,0.00019177670279368897
dipolar_000404,spec16,0.010473498543350779
dipolar_000411,locked_778,0.002570026906498768
dipolar_000415,spec16,0.01315541912771323
dipolar_000418,spec16,0.004268998233292631
dipolar_000425,locked_778,0.007188590915735205
dipolar_000455,locked_778,0.00405741392487613
dipolar_000460,spec16,0.004210549646404882
dipolar_000484,spec16,0.010426636713544823
dipolar_000487,locked_778,0.004365206371794272
dipolar_000502,locked_778,0.0023338200732679892
dipolar_000514,locked_778,0.0033791529392779296
dipolar_000517,locked_778,0.020944175012964195
dipolar_000535,spec16,0.0015486327514215859
dipolar_000541,locked_778,0.003257264053909914
dipolar_000551,locked_778,0.007021100118080881
dipolar_000561,locked_778,0.004095685401146909
dipolar_000568,spec16,0.0113649560418434
dipolar_000583,spec16,0.005693145405050615
dipolar_000606,spec16,0.02159391809790634
dipolar_000628,spec16,0.0020645040089899425
dipolar_000648,spec16,0.0034366626587853943
dipolar_000658,locked_778,0.00800359192080613
dipolar_000700,locked_778,0.0027048013554527017
dipolar_000721,spec16,0.007253552768467841
dipolar_000732,locked_778,0.0014146399272325638
dipolar_000753,spec16,0.008394888235479847
dipolar_000759,locked_778,0.0025181910998641754
dipolar_000763,spec16,0.0018010789841635955
dipolar_000783,locked_778,0.007948594229746142
dipolar_000784,locked_778,0.0003512484330383536
dipolar_000797,spec16,0.009015671695982164
dipolar_000853,locked_778,0.008101235991389899
dipolar_000864,spec16,0.0034851655436298756
dipolar_000876,locked_778,0.005314271878102517
dipolar_000900,locked_778,0.0005107798127621521
dipolar_000915,spec16,0.007304833277938627
dipolar_000930,spec16,0.005719211397524404
dipolar_000975,locked_778,0.0028199589197903663
dipolar_000983,spec16,0.002990564879771007
dipolar_000984,locked_778,0.0032177337817724805
dipolar_000991,locked_778,0.001419441986783454
dipolar_001058,spec16,0.005421955572732173
dipolar_001090,spec16,0.004495778330047884
dipolar_001108,spec16,0.0005205250362747549
dipolar_001146,spec16,0.005979849502093515
dipolar_001155,spec16,0.0035329397257424233
dipolar_001156,locked_778,0.013554672950315094
dipolar_001158,locked_778,0.0015459971930251726
dipolar_001172,locked_778,0.0055039196782749045
dipolar_001177,locked_778,0.002084032347685394
dipolar_001187,spec16,6.860920775153545e-05
dipolar_001189,locked_778,0.006895789783242456
dipolar_001197,spec16,0.005946524238950701
dipolar_001221,locked_778,0.005203898035260668
dipolar_001225,spec16,0.0033470245922622155
dipolar_001241,spec16,0.004470805714765547
dipolar_001243,locked_778,0.008639566901429419
dipolar_001250,locked_778,0.002020438759682719
dipolar_001261,spec16,0.003045753984094013
dipolar_001277,spec16,0.0001957980216644728
dipolar_001294,spec16,0.007715348555962009
dipolar_001295,spec16,0.016592796715945823
dipolar_001298,locked_778,0.0024403332548530443
dipolar_001314,spec16,0.003308220241892812
dipolar_001323,locked_778,0.0033265720176975933
dipolar_001326,spec16,0.0026627630894449084
dipolar_001353,locked_778,0.008820700116037195
dipolar_001374,locked_778,0.0016073117277706217
dipolar_001382,spec16,0.0023037713862414932
dipolar_001392,spec16,0.004067508520257945
dipolar_001399,locked_778,0.012143184919997552
dipolar_001402,spec16,0.001614235472208847
dipolar_001415,locked_778,0.008320669619882537
dipolar_001418,locked_778,0.008527258910260294
dipolar_001420,spec16,0.00030776360232209754
dipolar_001434,locked_778,0.006501320393246246
dipolar_001450,spec16,0.0050695801578211075
dipolar_001462,locked_778,0.0009335953799953778
dipolar_001484,spec16,0.004149530423767089
dipolar_001504,locked_778,0.010222211066571063
dipolar_001512,locked_778,0.0020499841024257393
dipolar_001513,spec16,0.0037660371326735387
dipolar_001520,locked_778,0.006401695354533388
dipolar_001528,locked_778,0.006286124881281552
dipolar_001530,spec16,0.005798053723871988
dipolar_001534,spec16,0.004744932692404724
dipolar_001545,locked_778,0.008303327544644912
dipolar_001556,spec16,0.007172827626542144
dipolar_001558,spec16,0.0027683772674107487
dipolar_001576,spec16,0.004048753211176148
dipolar_001628,spec16,0.0009636485991428856
dipolar_001652,spec16,0.007221359350850776
dipolar_001681,locked_778,0.0011191873952718367
dipolar_001699,locked_778,0.005394020771825936
