rxn_id,status,supported,n_atoms,elements,has_new_elements,has_any_halogen
0,ok,True,19,CHN,False,False
1,ok,True,19,CHN,False,False
10,ok,True,23,CHN,False,False
100,ok,True,30,CHNO,False,False
1000,ok,True,41,CClHNO,True,True
1001,ok,True,41,CClHNO,True,True
1002,ok,True,41,CClHNO,True,True
1003,ok,True,41,CClHNO,True,True
1004,ok,True,46,CHO,False,False
1005,ok,True,46,CHO,False,False
1006,ok,True,46,CHO,False,False
1007,ok,True,46,CHO,False,False
1009,ok,True,40,CClHNO,True,True
101,ok,True,30,CHNO,False,False
1010,ok,True,43,CFHNO,False,True
1011,ok,True,43,CFHNO,False,True
1012,ok,True,43,CClHNO,True,True
1013,ok,True,43,CClHNO,True,True
1014,ok,True,44,CHNO,False,False
1015,ok,True,44,CHNO,False,False
1016,ok,True,37,CClHNO,True,True
1018,ok,True,41,CClFHNO,True,True
1019,ok,True,41,CClFHNO,True,True
102,ok,True,30,CHNO,False,False
1020,ok,True,41,CHNO,False,False
1021,ok,True,41,CHNO,False,False
1022,ok,True,41,CHNO,False,False
1023,ok,True,41,CHNO,False,False
1025,ok,True,44,CFHN,False,True
1026,ok,True,37,CFHNO,False,True
1027,ok,True,37,CFHNO,False,True
1028,ok,True,44,CHNO,False,False
1029,ok,True,44,CHNO,False,False
103,ok,True,34,CHNO,False,False
1030,ok,True,43,CClHNO,True,True
1031,ok,True,43,CClHNO,True,True
1032,ok,True,42,CHNO,False,False
1033,ok,True,42,CHNO,False,False
1034,ok,True,42,CHNO,False,False
1035,ok,True,42,CHNO,False,False
1036,ok,True,41,CClHNO,True,True
1037,ok,True,41,CClHNO,True,True
1040,ok,True,35,CClHNO,True,True
1041,ok,True,35,CClHNO,True,True
1042,ok,True,35,CClHNO,True,True
1043,ok,True,35,CClHNO,True,True
1044,ok,True,42,CHNO,False,False
1045,ok,True,42,CHNO,False,False
1046,ok,True,42,CHNO,False,False
1048,ok,True,44,CFHNO,False,True
1049,ok,True,44,CFHNO,False,True
105,ok,True,27,CHNO,False,False
1050,ok,True,42,CFHNO,False,True
1051,ok,True,42,CFHNO,False,True
1052,ok,True,40,CFHNO,False,True
1053,ok,True,40,CFHNO,False,True
1054,ok,True,46,CFHNO,False,True
1055,ok,True,46,CFHNO,False,True
1056,ok,True,41,CFHNO,False,True
1057,ok,True,45,CHNO,False,False
1058,ok,True,45,CHNO,False,False
1059,ok,True,41,CFHNO,False,True
106,ok,True,27,CHNO,False,False
1060,ok,True,41,CFHNO,False,True
1061,ok,True,37,CFHNO,False,True
1062,ok,True,37,CFHNO,False,True
1063,ok,True,37,CFHNO,False,True
1064,ok,True,37,CFHNO,False,True
1065,ok,True,45,CHNO,False,False
1067,ok,True,45,CHNO,False,False
1068,ok,True,45,CHNO,False,False
1069,ok,True,42,CHNO,False,False
107,ok,True,23,CFHNO,False,True
1070,ok,True,42,CHNO,False,False
1071,ok,True,42,CHNO,False,False
1072,ok,True,42,CHNO,False,False
1073,ok,True,40,CHNO,False,False
1074,ok,True,50,CHNO,False,False
1075,ok,True,50,CHNO,False,False
108,ok,True,23,CFHNO,False,True
1080,ok,True,48,CHNO,False,False
1081,ok,True,48,CHNO,False,False
1082,ok,True,48,CClHNO,True,True
1083,ok,True,48,CClHNO,True,True
1084,ok,True,44,CFHNO,False,True
1085,ok,True,44,CFHNO,False,True
1086,ok,True,40,CHNO,False,False
1087,ok,True,40,CHNO,False,False
1088,ok,True,40,CHNO,False,False
1089,ok,True,40,CHNO,False,False
109,ok,True,34,CHNO,False,False
1090,ok,True,46,CHNO,False,False
1092,ok,True,35,CFHNO,False,True
1093,ok,True,35,CFHNO,False,True
1094,ok,True,35,CFHNO,False,True
1095,ok,True,35,CFHNO,False,True
1096,ok,True,45,CHNO,False,False
1097,ok,True,45,CHNO,False,False
1098,ok,True,46,CFHNO,False,True
1099,ok,True,46,CFHNO,False,True
110,ok,True,34,CHNO,False,False
1100,ok,True,46,CFHNO,False,True
1101,ok,True,46,CFHNO,False,True
1105,ok,True,35,CHNO,False,False
1106,ok,True,45,CFHNO,False,True
1107,ok,True,45,CFHNO,False,True
1108,ok,True,33,BrCHNO,True,True
1109,ok,True,33,BrCHNO,True,True
1110,ok,True,38,CFHO,False,True
1111,ok,True,45,CHNO,False,False
1112,ok,True,45,CHNO,False,False
1113,ok,True,32,CClHNO,True,True
1114,ok,True,41,CFHNO,False,True
1115,ok,True,41,CFHNO,False,True
1116,ok,True,46,CHNO,False,False
1117,ok,True,46,CHNO,False,False
1118,ok,True,42,CHNO,False,False
1119,ok,True,37,CClHNO,True,True
112,ok,True,26,CFHNO,False,True
1120,ok,True,37,CClHNO,True,True
1121,ok,True,45,CHNO,False,False
1122,ok,True,45,CHNO,False,False
1123,ok,True,46,CHNO,False,False
1124,ok,True,46,CHNO,False,False
1125,ok,True,28,BrCHNO,True,True
1126,ok,True,28,BrCHNO,True,True
1127,ok,True,31,CFHNO,False,True
1128,ok,True,31,CFHNO,False,True
1129,ok,True,42,CHNO,False,False
113,ok,True,26,CFHNO,False,True
1130,ok,True,42,CHNO,False,False
1131,ok,True,44,CHNO,False,False
1132,ok,True,44,CHNO,False,False
1135,ok,True,48,CHNO,False,False
1136,ok,True,48,CHNO,False,False
1137,ok,True,52,CHN,False,False
1138,ok,True,52,CHN,False,False
1139,ok,True,40,CClHNO,True,True
114,ok,True,29,CFHNO,False,True
1140,ok,True,40,CClHNO,True,True
1141,ok,True,40,CClHNO,True,True
1142,ok,True,40,CClHNO,True,True
1143,ok,True,41,CFHNO,False,True
1144,ok,True,41,CFHNO,False,True
1145,ok,True,42,CHNO,False,False
1146,ok,True,49,CHNO,False,False
1147,ok,True,49,CHNO,False,False
1148,ok,True,39,CClFHNO,True,True
1149,ok,True,39,CClFHNO,True,True
115,ok,True,29,CFHNO,False,True
1150,ok,True,33,BrCHNO,True,True
1151,ok,True,45,CHNO,False,False
1152,ok,True,45,CHNO,False,False
1153,ok,True,45,CHNO,False,False
1154,ok,True,45,CHNO,False,False
1155,ok,True,38,CClFHNO,True,True
1156,ok,True,38,CClFHNO,True,True
1158,ok,True,38,CClFHNO,True,True
1160,ok,True,37,BrCHNO,True,True
1161,ok,True,48,CHNO,False,False
1162,ok,True,48,CHNO,False,False
1163,ok,True,47,CHNO,False,False
1164,ok,True,47,CHNO,False,False
1165,ok,True,47,CHNO,False,False
1166,ok,True,47,CHNO,False,False
1167,ok,True,48,CHNO,False,False
1168,ok,True,48,CHNO,False,False
1169,ok,True,44,CClHNO,True,True
1170,ok,True,44,CClHNO,True,True
1171,ok,True,41,BrCHNO,True,True
1172,ok,True,41,BrCHNO,True,True
1173,ok,True,44,CHNO,False,False
1174,ok,True,44,CHNO,False,False
1175,ok,True,44,CHNO,False,False
1176,ok,True,44,CHNO,False,False
1177,ok,True,46,CFHN,False,True
1178,ok,True,46,CFHN,False,True
1179,ok,True,36,CClHNO,True,True
118,ok,True,24,BrCHO,True,True
1181,ok,True,44,BrCHNO,True,True
1182,ok,True,44,BrCHNO,True,True
1183,ok,True,49,CHNO,False,False
1184,ok,True,49,CHNO,False,False
1185,ok,True,47,CFHNO,False,True
1186,ok,True,47,CFHNO,False,True
1187,ok,True,43,CClHNO,True,True
1188,ok,True,43,CClHNO,True,True
1189,ok,True,43,CClHNO,True,True
1190,ok,True,43,CClHNO,True,True
1191,ok,True,39,CClHNO,True,True
1192,ok,True,39,CClHNO,True,True
1193,ok,True,39,CClHNO,True,True
1194,ok,True,39,CClHNO,True,True
1195,ok,True,46,CFHNO,False,True
1196,ok,True,48,CHNO,False,False
1197,ok,True,43,CHNO,False,False
