reaction_id,reaction_number,n_atoms_ts,n_heavy_1,n_heavy_2,d_forming_min,d_forming_2nd,barrier_dft,distortion_dft,interaction_dft,stuyver_barrier,verdict
dipolar_000009,0,23,4,8,1.9226323039780644,2.0582147719565125,-24.04020656112698,81.79079249639472,-105.8309990575217,,clean
dipolar_000017,1,24,9,4,1.8972237413125528,2.2926295399606103,-21.78431349270977,53.54869862404303,-75.3330121167528,,clean
dipolar_000027,2,29,7,7,2.8651023653789403,3.0274769599123292,15.826694952877006,16.71812798967585,-0.8914330367988441,,clean
dipolar_000034,3,21,7,8,2.663643570037102,2.8463171513554144,5.594441312277922,5.347798704635352,0.2466426076425705,,clean
dipolar_000036,4,28,9,5,2.9643649122366833,2.976169261063624,7.32424990425352,9.042747727013193,-1.718497822759673,,clean
dipolar_000041,5,26,7,8,1.5839763733402086,2.441045508178821,-11.235158069088357,71.30702716685482,-82.54218523594318,,contaminated_bonded
dipolar_000049,6,30,7,8,1.960295642141766,2.1094614639997573,-8.916635852248874,81.97532432473963,-90.8919601769885,,clean
dipolar_000050,7,30,8,7,1.894892634056083,2.1690363754902777,-10.613693971798057,87.92311289854115,-98.5368068703392,,clean
dipolar_000067,8,26,6,11,2.791546004600318,2.9610292019161175,9.172306975116953,11.246069705783157,-2.0737627306662034,,clean
dipolar_000078,9,28,4,12,2.7681536417619594,2.853050323040237,8.652345541515388,9.806595132220536,-1.1542495907051489,,clean
dipolar_000080,10,22,6,10,2.890614468292166,2.9212738964020475,5.788652406539768,9.342609157029074,-3.5539567504893057,,clean
dipolar_000084,11,26,10,5,2.840211219134943,2.931096245741514,18.97999706113478,20.920729467528872,-1.9407324063940905,,clean
dipolar_000097,12,26,9,8,1.6986986620057132,2.2362837307685264,-5.237814411375439,72.27702178122126,-77.5148361925967,,contaminated_bonded
dipolar_000133,13,25,7,11,2.607281406676311,2.7335901283842827,10.040557624422945,9.453269886842463,0.5872877375804819,,clean
dipolar_000145,14,31,8,8,1.7531646602358832,1.7972606778928872,-8.053760268318001,137.30617985632853,-145.35994012464653,,contaminated_bonded
dipolar_000155,15,33,9,8,1.939322542203849,2.3426119096000515,-1.7501346285571344,42.9891924886615,-44.739327117218636,,clean
dipolar_000160,16,30,12,4,2.708148191753915,2.7295192844711686,16.196324861084577,15.753776108642342,0.4425487524422351,,clean
dipolar_000172,17,26,12,6,1.3787907499327081,2.338477765513283,24.30231677714619,107.19123992384993,-82.88892314670375,,contaminated_bonded
dipolar_000173,18,26,6,12,1.3284910246591806,2.275074825340916,29.570037118974142,89.73186233485467,-60.161825215880526,,contaminated_bonded
dipolar_000205,19,29,12,5,1.5835314746793003,2.448883761982181,0.23733954620547593,42.64871643984225,-42.41137689363677,,contaminated_bonded
dipolar_000206,20,29,5,12,2.7559596889649893,2.9038274683252103,10.43475924350787,12.943514464597683,-2.508755221089814,,clean
dipolar_000219,21,30,5,14,2.8255330924269852,2.8469113346397004,1.1578710913890973,4.383947312046075,-3.226076220656978,,clean
dipolar_000245,22,31,6,12,1.8658105720302904,2.3946305168856425,-7.83081128023332,48.95572034025099,-56.78653162048431,,clean
dipolar_000262,23,25,7,8,2.736542108519436,2.7422698915679327,7.162163310364122,7.65538662468316,-0.49322331431903876,,clean
dipolar_000263,24,27,8,7,2.7756245251834764,2.899399903221355,6.4767554516438395,11.260850110382307,-4.784094658738468,,clean
dipolar_000271,25,34,9,10,1.628119968399135,1.9976464819131539,-14.554245858627837,102.09755717712687,-116.65180303575471,,contaminated_bonded
dipolar_000279,26,37,12,7,1.8227670542611858,1.8244933947537327,-5.942500020581065,85.61208944383543,-91.5545894644165,,clean
dipolar_000298,27,39,5,14,2.8642856049982166,2.898044033499146,16.25141315354267,20.98737876303494,-4.735965609492268,,clean
dipolar_000309,28,36,8,11,2.8254029494746407,2.9306306125132866,16.184081496030558,20.07362371630734,-3.8895422202767804,,clean
dipolar_000331,29,39,8,11,2.660309831786516,2.85521152932668,4.952302177087404,8.584557478956413,-3.6322553018690087,,clean
dipolar_000339,30,36,5,15,1.7175272918937852,2.208826996326331,-23.845589923206717,66.54960570510593,-90.39519562831265,,contaminated_bonded
dipolar_000344,31,32,9,11,2.95730261471497,2.959553390361458,4.52658631419763,11.189499685890041,-6.662913371692412,,clean
dipolar_000360,32,33,8,12,2.7286163139034407,2.81492292336753,8.924889888498,12.723752278427128,-3.798862389929127,,clean
dipolar_000372,33,34,12,8,2.807128551402661,2.872229598221563,5.849182218807982,10.36589055514196,-4.516708336333977,,clean
dipolar_000393,34,26,7,10,1.726293596147538,2.187642668033333,-12.846048836130649,71.22888828764553,-84.07493712377618,,contaminated_bonded
dipolar_000401,35,26,10,9,2.773855004519883,2.7901006154975843,3.3485970611218363,4.985079662466887,-1.636482601345051,,clean
dipolar_000404,36,38,12,8,1.6997051390461817,2.300582650743068,-9.856927725486457,93.7856068580295,-103.64253458351595,,contaminated_bonded
dipolar_000411,37,35,12,8,1.634056140590035,2.4730188672551616,-2.3379853694932535,79.364399147511,-81.70238451700425,,contaminated_bonded
dipolar_000415,38,37,9,12,1.8016083366259161,2.158327790211672,-11.545497728220653,64.13928174116882,-75.68477946938947,,clean
dipolar_000418,39,44,11,9,1.9640794268562562,2.0363339402219864,-4.358497143606655,93.88691839255625,-98.24541553616291,,clean
dipolar_000425,40,37,11,8,2.6607342734854225,2.861257601912138,10.322972108609974,12.756245974567719,-2.4332738659577444,,clean
dipolar_000455,41,39,7,13,1.418956672911474,2.164579769608873,18.84089468535967,150.6119049511617,-131.77101026580203,,contaminated_bonded
dipolar_000460,42,36,10,11,2.744240026601172,3.044443552851654,3.8078185496269725,8.822782535746228,-5.014963986119255,,clean
dipolar_000484,43,38,8,13,1.7065189266164027,2.476303070021923,-7.979802452842705,76.1416000475001,-84.12140250034281,,contaminated_bonded
