reaction_number,reaction_id,d_forming_min,barrier_dft,distortion_dft,interaction_dft
2,dipolar_000027,2.8651023653789403,15.826694952877006,16.71812798967585,-0.8914330367988441
3,dipolar_000034,2.663643570037102,5.594441312277922,5.347798704635352,0.2466426076425705
4,dipolar_000036,2.9643649122366837,7.32424990425352,9.042747727013193,-1.718497822759673
8,dipolar_000067,2.791546004600318,9.172306975116953,11.246069705783157,-2.0737627306662034
9,dipolar_000078,2.7681536417619594,8.652345541515388,9.806595132220536,-1.1542495907051489
10,dipolar_000080,2.890614468292166,5.788652406539768,9.342609157029074,-3.5539567504893057
11,dipolar_000084,2.840211219134943,18.97999706113478,20.920729467528872,-1.9407324063940905
13,dipolar_000133,2.607281406676311,10.040557624422945,9.453269886842463,0.5872877375804819
16,dipolar_000160,2.708148191753915,16.196324861084577,15.753776108642342,0.4425487524422351
20,dipolar_000206,2.7559596889649893,10.43475924350787,12.943514464597683,-2.508755221089814
21,dipolar_000219,2.825533092426985,1.1578710913890973,4.383947312046075,-3.226076220656978
23,dipolar_000262,2.736542108519436,7.162163310364122,7.65538662468316,-0.49322331431903876
24,dipolar_000263,2.7756245251834764,6.4767554516438395,11.260850110382307,-4.784094658738468
27,dipolar_000298,2.8642856049982166,16.25141315354267,20.98737876303494,-4.735965609492268
28,dipolar_000309,2.8254029494746407,16.184081496030558,20.07362371630734,-3.8895422202767804
29,dipolar_000331,2.660309831786516,4.952302177087404,8.584557478956413,-3.6322553018690087
31,dipolar_000344,2.95730261471497,4.52658631419763,11.189499685890041,-6.662913371692412
32,dipolar_000360,2.7286163139034407,8.924889888498,12.723752278427128,-3.798862389929127
33,dipolar_000372,2.807128551402661,5.849182218807982,10.36589055514196,-4.516708336333977
35,dipolar_000401,2.773855004519883,3.3485970611218363,4.985079662466887,-1.636482601345051
40,dipolar_000425,2.6607342734854225,10.322972108609974,12.756245974567719,-2.4332738659577444
42,dipolar_000460,2.744240026601172,3.8078185496269725,8.822782535746228,-5.014963986119255
44,dipolar_000487,2.6260058317718946,12.691529203642858,15.856358054792508,-3.1648288511496503
45,dipolar_000502,2.8357651389704333,1.7681644603435416,4.781881116708973,-3.013716656365432
48,dipolar_000535,2.8824923104494142,4.8580549822654575,10.36395619873656,-5.505901216471102
49,dipolar_000541,2.7988722576423526,2.936132338072639,7.1431799866841175,-4.2070476486114785
51,dipolar_000561,2.9767868261600463,6.999745715293102,14.234705056936946,-7.234959341643844
52,dipolar_000568,2.5376281477986486,9.466259956068825,11.0841723807971,-1.6179124247282743
57,dipolar_000658,2.810861328223077,5.222166235849727,8.891140836960403,-3.6689746011106763
61,dipolar_000753,2.8567701508871868,5.316467331722379,10.74405613768613,-5.427588805963751
64,dipolar_000783,2.8363834210134566,4.1309162294492126,7.220843524788506,-3.0899272953392938
67,dipolar_000853,2.8023929478394,27.156685940281022,30.163779301161412,-3.00709336088039
70,dipolar_000900,2.82080812482877,5.01217813330004,9.837714055553079,-4.825535922253039
71,dipolar_000915,2.706344481842621,10.149928138242103,14.442124778142897,-4.292196639900794
72,dipolar_000930,2.817997397621226,2.744428544479888,7.74515406327555,-5.000725518795662
73,dipolar_000975,1.8572960860885916,13.808289188425988,126.08996089035645,-112.28167170193046
74,dipolar_000983,2.1011400835974743,5.628802897583228,43.98115932405926,-38.352356426476035
75,dipolar_000984,2.9750892626944823,5.663274172518868,13.114025821269024,-7.450751648750156
77,dipolar_001058,2.709250505674955,11.05326436139876,15.679038197209593,-4.625773835810833
80,dipolar_001146,2.708961017825838,16.135179414821323,18.939403042109916,-2.804223627288593
85,dipolar_001177,2.3581007943258063,25.426662437530467,42.89495347478078,-17.46829103725031
86,dipolar_001187,2.8384484659933493,2.5168994907289743,9.714612174255308,-7.197712683526333
87,dipolar_001189,2.8185047939111265,3.7482222648104653,7.200168880226556,-3.451946615416091
88,dipolar_001197,2.55051258169804,15.610387669294141,22.055161406635307,-6.4447737373411655
90,dipolar_001225,2.9561010388178546,6.795631909189979,11.254743600613438,-4.459111691423459
91,dipolar_001241,2.815071824696485,4.84971319953911,10.025782805867493,-5.176069606328383
92,dipolar_001243,2.702042873160972,27.07279307791032,28.467478747537825,-1.3946856696275063
93,dipolar_001250,2.7195695386034897,8.616563836170826,13.995318399043754,-5.378754562872928
94,dipolar_001261,2.7712000769702643,4.349322505877353,12.490259581827559,-8.140937075950205
96,dipolar_001294,2.8487537299317403,1.3422309063607827,6.524311017565196,-5.182080111204414
98,dipolar_001298,2.6103527362599865,8.248946828534827,11.628696011553984,-3.3797491830191575
99,dipolar_001314,2.750565313003856,7.109212983516045,13.756135888339486,-6.646922904823441
100,dipolar_001323,2.7876421643568245,5.501436682243366,9.711355666106101,-4.209918983862735
101,dipolar_001326,2.831328151115656,14.23510666238144,22.931960590009112,-8.696853927627672
102,dipolar_001353,2.040636364715674,0.3727244341862388,35.96754521509865,-35.594820780912414
104,dipolar_001382,2.747560630541208,11.47036921477411,16.68594826030312,-5.215579045529012
105,dipolar_001392,2.739502662455359,27.23949356144294,30.968287664290983,-3.728794102848042
106,dipolar_001399,2.9011904167082863,10.036610109760659,17.983855567668797,-7.947245457908139
107,dipolar_001402,2.8726393636688887,2.564141003182158,8.004113166360185,-5.439972163178027
108,dipolar_001415,2.678859581631706,9.048123077955097,11.76710593351163,-2.7189828555565327
109,dipolar_001418,2.57274825581517,1.0281321503571235,6.968579581181984,-5.940447430824861
110,dipolar_001420,2.91187502757244,1.8422667240374722,8.373808200645726,-6.531541476608254
111,dipolar_001434,2.7737394305521925,14.43744719325332,19.02466004661983,-4.587212853366509
114,dipolar_001484,2.098111349595154,15.224804018740542,50.42776712286286,-35.20296310412232
115,dipolar_001504,2.6842689349616218,9.45119907805929,9.021301593107637,0.4298974849516526
116,dipolar_001512,2.537992368428243,6.266872409207281,16.56223804363981,-10.295365634432528
117,dipolar_001513,1.861136735331394,0.5776736291009001,57.909001726598945,-57.331328097498044
118,dipolar_001520,3.003262147382409,9.392245900584385,18.769938066951,-9.377692166366614
119,dipolar_001528,3.019103756696679,17.377291659708135,24.236257779295556,-6.858966119587421
123,dipolar_001556,2.489433600339644,12.291672772320453,14.920633615984116,-2.6289608436636627
127,dipolar_001652,2.4761032350247434,24.463757664954755,25.191856796620414,-0.7280991316656582
128,dipolar_001681,2.8793823917812653,22.73889501800295,29.21778154320782,-6.478886525204871
129,dipolar_001699,2.584932472483566,9.187773995043244,14.426922421786003,-5.239148426742759
130,dipolar_001701,2.531980439438662,3.7089544854825363,7.023343690292677,-3.3143892048101407
131,dipolar_001703,2.9747232145024856,1.1750653975759633,8.802175892691594,-7.62711049511563
132,dipolar_001731,2.6285916488492465,22.16671865672106,26.837724118347978,-4.671005461626919
133,dipolar_001736,2.845242610991196,12.459621108835563,17.52275048039155,-5.063129371555988
134,dipolar_001769,2.0360353780325133,3.731870461779181,38.21231622074265,-34.48044575896347
136,dipolar_001780,2.871935181180105,8.672615026938729,12.012131797207985,-3.339516770269256
137,dipolar_001785,2.7596690190854414,4.277519451919943,8.816324827668723,-4.53880537574878
138,dipolar_001824,2.962082814811227,0.9483436269219965,9.596914570138324,-8.648570943216328
140,dipolar_001839,2.5437481018960977,0.35445987922139466,7.045442349626683,-6.690982470405288
141,dipolar_001901,2.8054876044281505,1.0840874131536111,10.239272568258457,-9.155185155104846
